"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"1",145,2015,"2126","0418942DBA",1,"145_2015_0418942DBA",55505,"126","0418942DBA","0418945C34","Yes","5/24/15",1,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",15,-1.99126448457141,0.257909152647811,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"2",145,2015,"2126","0418942DBA",1,"145_2015_0418942DBA",55505,"126","0418942DBA","0418945C34","Yes","5/24/15",1,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",15,-1.99126448457141,0.257909152647811,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"3",145,2015,"2126","0418942DBA",1,"145_2015_0418942DBA",55505,"126","0418942DBA","0418945C34","Yes","5/24/15",1,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",15,-1.99126448457141,0.257909152647811,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"4",145,2015,"2126","0418942DBA",1,"145_2015_0418942DBA",55505,"126","0418942DBA","0418945C34","Yes","5/24/15",1,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",15,-1.99126448457141,0.257909152647811,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"5",145,2015,"2126","0418942DBA",1,"145_2015_0418942DBA",55505,"126","0418942DBA","0418945C34","Yes","5/24/15",1,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",15,-1.99126448457141,0.257909152647811,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"6",146,2015,"2126","0418942DBA",21,"146_2015_0418942DBA",55963,"126","0418942DBA","0418945C34","Yes","5/24/15",2,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",15,-1.88144553080417,0.303230133309411,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"7",146,2015,"2126","0418942DBA",21,"146_2015_0418942DBA",55963,"126","0418942DBA","0418945C34","Yes","5/24/15",2,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",15,-1.88144553080417,0.303230133309411,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"8",146,2015,"2126","0418942DBA",21,"146_2015_0418942DBA",55963,"126","0418942DBA","0418945C34","Yes","5/24/15",2,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",15,-1.88144553080417,0.303230133309411,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"9",146,2015,"2126","0418942DBA",21,"146_2015_0418942DBA",55963,"126","0418942DBA","0418945C34","Yes","5/24/15",2,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",15,-1.88144553080417,0.303230133309411,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"10",146,2015,"221","0417939ADB",11,"146_2015_0417939ADB",55511,"21","0417939ADB","","Yes","5/25/15",1,FALSE,21316,"Long",62.2,"Ithaca","2015-05-25",145,145,165,"146_2015",15,-1.88144553080417,0.2585028772853,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
