"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","cloud","Sky.Cov.y","Sc.totalTime","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"1",145,2015,"2126","0418945C34",1,"145_2015_0418945C34",48340,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"M",21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",0.46,0.46,-0.117467647023387,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"2",145,2015,"2126","0418945C34",1,"145_2015_0418945C34",48340,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"M",21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",0.46,0.46,-0.117467647023387,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"3",145,2015,"2126","0418945C34",1,"145_2015_0418945C34",48340,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"M",21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",0.46,0.46,-0.117467647023387,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"4",145,2015,"2126","0418945C34",1,"145_2015_0418945C34",48340,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"M",21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",0.46,0.46,-0.117467647023387,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"5",145,2015,"2126","0418945C34",1,"145_2015_0418945C34",48340,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"M",21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,"145_2015",0.46,0.46,-0.117467647023387,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"6",146,2015,"2126","0418945C34",11,"146_2015_0418945C34",47826,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"M",21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",0.53,0.53,-0.159418977879874,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"7",146,2015,"2126","0418945C34",11,"146_2015_0418945C34",47826,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"M",21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",0.53,0.53,-0.159418977879874,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"8",146,2015,"2126","0418945C34",11,"146_2015_0418945C34",47826,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"M",21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",0.53,0.53,-0.159418977879874,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"9",146,2015,"2126","0418945C34",11,"146_2015_0418945C34",47826,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"M",21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,"146_2015",0.53,0.53,-0.159418977879874,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"10",146,2016,"2118","04186ED791",21,"146_2016_04186ED791",49503,"118","0419179244","04186ED791","Yes","5/24/16",0,"M",21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,"146_2016",0.211111111111111,0.211111111111111,-0.0225466396574442,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"11",146,2016,"2118","04186ED791",21,"146_2016_04186ED791",49503,"118","0419179244","04186ED791","Yes","5/24/16",0,"M",21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,"146_2016",0.211111111111111,0.211111111111111,-0.0225466396574442,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"12",146,2016,"2118","04186ED791",21,"146_2016_04186ED791",49503,"118","0419179244","04186ED791","Yes","5/24/16",0,"M",21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,"146_2016",0.211111111111111,0.211111111111111,-0.0225466396574442,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
