"","JDate","Year","X","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","Sky.Cov.x","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"1",145,2015,5,"2126","0418942DBA",18950,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418942DBA_145_18950",12546950,5.26388888888889,27.7085262345679,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,-0.607367445920127,15,-2.04511356744706,0.2,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"2",145,2015,4,"2126","0418942DBA",18950,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418942DBA_145_18950",12546950,5.26388888888889,27.7085262345679,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,-0.607367445920127,15,-2.04511356744706,0.5,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"3",145,2015,3,"2126","0418942DBA",18950,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418942DBA_145_18950",12546950,5.26388888888889,27.7085262345679,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,-0.607367445920127,15,-2.04511356744706,1,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"4",145,2015,2,"2126","0418942DBA",18950,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418942DBA_145_18950",12546950,5.26388888888889,27.7085262345679,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,-0.607367445920127,15,-2.04511356744706,0.8,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"5",145,2015,1,"2126","0418942DBA",18950,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418942DBA_145_18950",12546950,5.26388888888889,27.7085262345679,FALSE,21025,"High",52.5,"Ithaca","2015-05-24",144,144,164,-0.607367445920127,15,-2.04511356744706,0,0.46,0.46,12484140,12533100,12508860,12515340,12548100,32760,48960,"set",17760
"6",146,2015,8,"2126","0418942DBA",18988,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"0418942DBA_146_18988",12633388,5.27444444444444,27.8197641975309,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,-0.57655345328546,15,-1.93085875327837,0.8,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"7",146,2015,6,"2126","0418942DBA",18988,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"0418942DBA_146_18988",12633388,5.27444444444444,27.8197641975309,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,-0.57655345328546,15,-1.93085875327837,0,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"8",146,2015,7,"2126","0418942DBA",18988,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"0418942DBA_146_18988",12633388,5.27444444444444,27.8197641975309,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,-0.57655345328546,15,-1.93085875327837,1,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"9",146,2015,9,"2126","0418942DBA",18988,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"0418942DBA_146_18988",12633388,5.27444444444444,27.8197641975309,FALSE,21316,"High",62.2,"Ithaca","2015-05-24",144,144,164,-0.57655345328546,15,-1.93085875327837,0.5,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"10",146,2015,10,"221","0417939ADB",19240,"21","0417939ADB","","Yes","5/25/15",1,"0417939ADB_146_19240",12633640,5.34444444444444,28.5630864197531,FALSE,21316,"Long",62.2,"Ithaca","2015-05-25",145,145,165,-0.372208028445036,15,-1.93085875327837,0,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"11",146,2015,13,"221","0417939ADB",19240,"21","0417939ADB","","Yes","5/25/15",1,"0417939ADB_146_19240",12633640,5.34444444444444,28.5630864197531,FALSE,21316,"Long",62.2,"Ithaca","2015-05-25",145,145,165,-0.372208028445036,15,-1.93085875327837,0.5,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"12",146,2015,12,"221","0417939ADB",19240,"21","0417939ADB","","Yes","5/25/15",1,"0417939ADB_146_19240",12633640,5.34444444444444,28.5630864197531,FALSE,21316,"Long",62.2,"Ithaca","2015-05-25",145,145,165,-0.372208028445036,15,-1.93085875327837,0.8,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"13",146,2015,11,"221","0417939ADB",19240,"21","0417939ADB","","Yes","5/25/15",1,"0417939ADB_146_19240",12633640,5.34444444444444,28.5630864197531,FALSE,21316,"Long",62.2,"Ithaca","2015-05-25",145,145,165,-0.372208028445036,15,-1.93085875327837,1,0.53,0.53,12573960,12621300,12597840,12601800,12634500,32700,47340,"set",19500
"14",146,2016,17,"2118","0419179244",20799,"118","0419179244","04186ED791","Yes","5/24/16",0,"0419179244_146_20799",12635199,5.7775,33.37950625,FALSE,21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,0.891976564119333,16,-1.93085875327837,1,0.211111111111111,0.211111111111111,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"15",146,2016,14,"2118","0419179244",20799,"118","0419179244","04186ED791","Yes","5/24/16",0,"0419179244_146_20799",12635199,5.7775,33.37950625,FALSE,21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,0.891976564119333,16,-1.93085875327837,0,0.211111111111111,0.211111111111111,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"16",146,2016,16,"2118","0419179244",20799,"118","0419179244","04186ED791","Yes","5/24/16",0,"0419179244_146_20799",12635199,5.7775,33.37950625,FALSE,21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,0.891976564119333,16,-1.93085875327837,0.5,0.211111111111111,0.211111111111111,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
